5.3192 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
6.2243 	WARNING 	Monitor specification not found. Creating a temporary one...
6.2330 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1120, 700]. Using actual size
323020.4146 	EXP 	START
323022.8746 	DATA 	Keypress: space
323022.8789 	EXP 	startBlock
323022.8977 	EXP 	baseLine
323024.3038 	EXP 	distractor
323025.7098 	EXP 	baseLine
323027.1132 	EXP 	baseLine
323028.5195 	EXP 	target
323029.9264 	EXP 	baseLine
323031.3304 	EXP 	baseLine
323032.7378 	EXP 	baseLine
323034.1485 	EXP 	baseLine
323035.5562 	EXP 	baseLine
323036.9630 	EXP 	baseLine
323038.3694 	EXP 	baseLine
323039.7751 	EXP 	baseLine
323041.1794 	EXP 	baseLine
323042.5839 	EXP 	baseLine
323043.9886 	EXP 	baseLine
323045.3939 	EXP 	target
323046.8004 	EXP 	target
323048.2060 	EXP 	baseLine
323049.6129 	EXP 	baseLine
323051.0158 	EXP 	baseLine
323052.4224 	EXP 	baseLine
323053.8301 	EXP 	baseLine
323055.2344 	EXP 	distractor
323056.6388 	EXP 	baseLine
323058.0428 	EXP 	baseLine
323059.4519 	EXP 	baseLine
323060.8556 	EXP 	baseLine
323062.2669 	EXP 	baseLine
323063.6743 	EXP 	baseLine
323065.0783 	EXP 	baseLine
323066.4847 	EXP 	baseLine
323067.8895 	EXP 	baseLine
323069.2940 	EXP 	baseLine
323070.6988 	EXP 	baseLine
323072.1047 	EXP 	baseLine
323073.5104 	EXP 	target
323074.9176 	EXP 	baseLine
323076.3219 	EXP 	distractor
323077.7305 	EXP 	target
323079.1341 	EXP 	baseLine
323080.5388 	EXP 	baseLine
323081.9454 	EXP 	target
323083.3504 	EXP 	baseLine
323084.7541 	EXP 	baseLine
323086.1572 	EXP 	baseLine
323087.5671 	EXP 	baseLine
323088.9703 	EXP 	baseLine
323090.3743 	EXP 	baseLine
323091.7789 	EXP 	baseLine
323093.1849 	EXP 	baseLine
323094.5958 	EXP 	target
323096.0034 	EXP 	baseLine
323097.4080 	EXP 	baseLine
323098.8125 	EXP 	baseLine
323100.2169 	EXP 	baseLine
323101.6222 	EXP 	baseLine
323103.0332 	EXP 	baseLine
323104.4441 	EXP 	baseLine
323105.8488 	EXP 	distractor
323107.2529 	EXP 	distractor
323108.6574 	EXP 	baseLine
323110.0656 	EXP 	baseLine
323111.4695 	EXP 	target
323112.8746 	EXP 	target
323114.2794 	EXP 	baseLine
323115.6856 	EXP 	baseLine
323117.0894 	EXP 	distractor
323118.4947 	EXP 	target
323119.8986 	EXP 	distractor
323121.3027 	EXP 	baseLine
323122.7065 	EXP 	baseLine
323124.1105 	EXP 	baseLine
323125.5164 	EXP 	target
323126.9210 	EXP 	target
323128.3243 	EXP 	baseLine
323129.7295 	EXP 	baseLine
323131.1350 	EXP 	baseLine
323132.5404 	EXP 	baseLine
323133.9475 	EXP 	baseLine
323135.3497 	EXP 	baseLine
323136.7532 	EXP 	baseLine
323138.1580 	EXP 	baseLine
323139.5672 	EXP 	distractor
323140.9729 	EXP 	baseLine
323142.3766 	EXP 	baseLine
323143.7834 	EXP 	baseLine
323145.1883 	EXP 	distractor
323146.5926 	EXP 	baseLine
323148.0013 	EXP 	baseLine
323149.4070 	EXP 	baseLine
323150.8122 	EXP 	baseLine
323152.2187 	EXP 	baseLine
323153.6231 	EXP 	baseLine
323155.0271 	EXP 	baseLine
323156.4302 	EXP 	baseLine
323157.8349 	EXP 	target
323159.2416 	EXP 	baseLine
323160.6452 	EXP 	baseLine
323162.0502 	EXP 	distractor
323163.4552 	EXP 	baseLine
323164.8601 	EXP 	baseLine
323166.2640 	EXP 	baseLine
323167.6706 	EXP 	baseLine
323169.0753 	EXP 	baseLine
323170.4814 	EXP 	baseLine
323171.8843 	EXP 	baseLine
323173.2898 	EXP 	target
323174.6944 	EXP 	baseLine
323176.1031 	EXP 	baseLine
323177.5101 	EXP 	distractor
323178.9178 	EXP 	target
323180.3250 	EXP 	baseLine
323181.7306 	EXP 	target
323183.1358 	EXP 	target
323184.5413 	EXP 	target
323185.9452 	EXP 	baseLine
323187.3530 	EXP 	baseLine
323188.7567 	EXP 	distractor
323190.1617 	EXP 	baseLine
323191.5652 	EXP 	baseLine
323192.9685 	EXP 	baseLine
323194.3717 	EXP 	distractor
323195.7830 	EXP 	baseLine
323197.1875 	EXP 	baseLine
323198.5964 	EXP 	baseLine
323200.0008 	EXP 	baseLine
323201.4149 	EXP 	target
323202.8206 	EXP 	distractor
323204.2247 	EXP 	baseLine
323205.6296 	EXP 	baseLine
323207.0336 	EXP 	distractor
323208.4410 	EXP 	baseLine
323209.8483 	EXP 	baseLine
323211.2546 	EXP 	baseLine
323212.6629 	EXP 	baseLine
323214.0710 	EXP 	baseLine
323215.4757 	EXP 	baseLine
323216.8804 	EXP 	baseLine
323218.2881 	EXP 	baseLine
323219.6966 	EXP 	baseLine
323221.1018 	EXP 	baseLine
323222.5051 	EXP 	baseLine
323223.9089 	EXP 	baseLine
323225.3133 	EXP 	baseLine
323226.7181 	EXP 	target
323228.1215 	EXP 	target
323229.5251 	EXP 	baseLine
323230.9301 	EXP 	baseLine
323232.3354 	EXP 	baseLine
323233.7412 	EXP 	baseLine
323235.1490 	EXP 	baseLine
323236.5546 	EXP 	baseLine
323237.9648 	EXP 	target
323239.3689 	EXP 	target
323240.7752 	EXP 	distractor
323242.1841 	EXP 	baseLine
323243.5901 	EXP 	baseLine
323244.9941 	EXP 	target
323246.3997 	EXP 	baseLine
323247.8057 	EXP 	target
323249.2095 	EXP 	target
323250.6155 	EXP 	baseLine
323252.0199 	EXP 	baseLine
323253.4256 	EXP 	target
323254.8340 	EXP 	baseLine
323256.2372 	EXP 	distractor
323257.6428 	EXP 	distractor
323259.0484 	EXP 	distractor
323260.4521 	EXP 	distractor
323261.8575 	EXP 	baseLine
323263.2611 	EXP 	baseLine
323264.6681 	EXP 	target
323266.0747 	EXP 	baseLine
323267.4819 	EXP 	baseLine
323268.8891 	EXP 	baseLine
323270.2934 	EXP 	baseLine
323271.7007 	EXP 	baseLine
323273.1032 	EXP 	baseLine
323274.5083 	EXP 	baseLine
323275.9126 	EXP 	baseLine
323277.3157 	EXP 	baseLine
323278.7211 	EXP 	baseLine
323280.1324 	EXP 	baseLine
323281.5357 	EXP 	baseLine
323282.9418 	EXP 	distractor
323284.3509 	EXP 	baseLine
323285.7580 	EXP 	baseLine
323287.1680 	EXP 	baseLine
323288.5726 	EXP 	target
323289.9765 	EXP 	baseLine
323291.3805 	EXP 	baseLine
323292.7835 	EXP 	target
323294.1932 	EXP 	baseLine
323295.5993 	EXP 	baseLine
323297.0067 	EXP 	baseLine
323298.4104 	EXP 	target
323299.8165 	EXP 	baseLine
323301.2220 	EXP 	target
323302.6240 	EXP 	target
323315.2225 	DATA 	Keypress: space
323315.2238 	EXP 	startBlock
323315.2374 	EXP 	baseLine
323316.6424 	EXP 	baseLine
323318.0464 	EXP 	baseLine
323319.4541 	EXP 	baseLine
323320.8647 	EXP 	distractor
323322.2728 	EXP 	baseLine
323323.6781 	EXP 	baseLine
323325.0853 	EXP 	baseLine
323326.4892 	EXP 	baseLine
323327.8955 	EXP 	baseLine
323329.3009 	EXP 	baseLine
323330.7045 	EXP 	baseLine
323332.1088 	EXP 	distractor
323333.5138 	EXP 	baseLine
323334.9167 	EXP 	target
323336.3218 	EXP 	target
323337.7273 	EXP 	target
323339.1315 	EXP 	distractor
323340.5356 	EXP 	baseLine
323341.9414 	EXP 	distractor
323343.3463 	EXP 	baseLine
323344.7499 	EXP 	baseLine
323346.1543 	EXP 	baseLine
323347.5599 	EXP 	baseLine
323348.9648 	EXP 	baseLine
323350.3669 	EXP 	baseLine
323351.7714 	EXP 	target
323353.1770 	EXP 	baseLine
323354.5809 	EXP 	baseLine
323355.9851 	EXP 	baseLine
323357.3898 	EXP 	baseLine
323358.7977 	EXP 	baseLine
323360.2019 	EXP 	baseLine
323361.6080 	EXP 	baseLine
323363.0119 	EXP 	distractor
323364.4164 	EXP 	baseLine
323365.8237 	EXP 	baseLine
323367.2291 	EXP 	baseLine
323368.6330 	EXP 	baseLine
323370.0383 	EXP 	baseLine
323371.4444 	EXP 	target
323372.8509 	EXP 	target
323374.2539 	EXP 	baseLine
323375.6656 	EXP 	baseLine
323377.0694 	EXP 	target
323378.4732 	EXP 	distractor
323379.8772 	EXP 	baseLine
323381.2853 	EXP 	baseLine
323382.6935 	EXP 	baseLine
323384.0977 	EXP 	baseLine
323385.5040 	EXP 	target
323386.9105 	EXP 	baseLine
323388.3208 	EXP 	baseLine
323389.7248 	EXP 	target
323391.1292 	EXP 	baseLine
323392.5350 	EXP 	baseLine
323393.9444 	EXP 	distractor
323395.3506 	EXP 	baseLine
323396.7561 	EXP 	target
323398.1609 	EXP 	baseLine
323399.5687 	EXP 	distractor
323400.9736 	EXP 	distractor
323402.3783 	EXP 	distractor
323403.7827 	EXP 	baseLine
323405.1890 	EXP 	target
323406.5926 	EXP 	baseLine
323407.9993 	EXP 	baseLine
323409.4041 	EXP 	target
323410.8079 	EXP 	baseLine
323412.2118 	EXP 	baseLine
323413.6188 	EXP 	baseLine
323415.0227 	EXP 	baseLine
323416.4270 	EXP 	target
323417.8310 	EXP 	baseLine
323419.2393 	EXP 	baseLine
323420.6431 	EXP 	baseLine
323422.0521 	EXP 	target
323423.4552 	EXP 	target
323424.8603 	EXP 	baseLine
323426.2649 	EXP 	target
323427.6694 	EXP 	baseLine
323429.0740 	EXP 	baseLine
323430.4798 	EXP 	baseLine
323431.8829 	EXP 	distractor
323433.2856 	EXP 	distractor
323434.6928 	EXP 	baseLine
323436.0975 	EXP 	baseLine
323437.5013 	EXP 	baseLine
323438.9051 	EXP 	target
323440.3188 	EXP 	baseLine
323441.7231 	EXP 	baseLine
323443.1346 	EXP 	baseLine
323444.5401 	EXP 	baseLine
323445.9502 	EXP 	baseLine
323447.3537 	EXP 	baseLine
323448.7603 	EXP 	distractor
323450.1676 	EXP 	baseLine
323451.5702 	EXP 	target
323452.9739 	EXP 	baseLine
323454.3795 	EXP 	baseLine
323455.7823 	EXP 	target
323457.1860 	EXP 	target
323458.5920 	EXP 	baseLine
323459.9959 	EXP 	baseLine
323461.4004 	EXP 	baseLine
323462.8049 	EXP 	baseLine
323464.2099 	EXP 	target
323465.6145 	EXP 	baseLine
323467.0205 	EXP 	target
323468.4244 	EXP 	baseLine
323469.8290 	EXP 	baseLine
323471.2325 	EXP 	target
323472.6361 	EXP 	baseLine
323474.0411 	EXP 	baseLine
323475.4453 	EXP 	distractor
323476.8517 	EXP 	baseLine
323478.2549 	EXP 	baseLine
323479.6591 	EXP 	baseLine
323481.0662 	EXP 	target
323482.4756 	EXP 	distractor
323483.8814 	EXP 	target
323485.2854 	EXP 	baseLine
323486.6894 	EXP 	baseLine
323488.0942 	EXP 	baseLine
323489.5015 	EXP 	baseLine
323490.9056 	EXP 	baseLine
323492.3122 	EXP 	baseLine
323493.7155 	EXP 	baseLine
323495.1236 	EXP 	target
323496.5270 	EXP 	baseLine
323497.9309 	EXP 	baseLine
323499.3343 	EXP 	baseLine
323500.7374 	EXP 	target
323502.1444 	EXP 	baseLine
323503.5476 	EXP 	baseLine
323504.9512 	EXP 	baseLine
323506.3539 	EXP 	baseLine
323507.7593 	EXP 	baseLine
323509.1637 	EXP 	baseLine
323510.5702 	EXP 	target
323511.9761 	EXP 	baseLine
323513.3876 	EXP 	distractor
323514.7938 	EXP 	baseLine
323516.1989 	EXP 	baseLine
323517.6028 	EXP 	baseLine
323519.0151 	EXP 	baseLine
323520.4194 	EXP 	baseLine
323521.8242 	EXP 	distractor
323523.2334 	EXP 	target
323524.6375 	EXP 	baseLine
323526.0446 	EXP 	baseLine
323527.4490 	EXP 	distractor
323528.8535 	EXP 	distractor
323530.2613 	EXP 	baseLine
323531.6718 	EXP 	target
323533.0762 	EXP 	baseLine
323534.4856 	EXP 	baseLine
323535.8908 	EXP 	baseLine
323537.2980 	EXP 	baseLine
323538.7014 	EXP 	distractor
323540.1044 	EXP 	baseLine
323541.5121 	EXP 	distractor
323542.9233 	EXP 	baseLine
323544.3270 	EXP 	baseLine
323545.7337 	EXP 	target
323547.1386 	EXP 	baseLine
323548.5432 	EXP 	baseLine
323549.9548 	EXP 	distractor
323551.3615 	EXP 	baseLine
323552.7656 	EXP 	baseLine
323554.1698 	EXP 	baseLine
323555.5737 	EXP 	baseLine
323556.9840 	EXP 	baseLine
323558.3887 	EXP 	baseLine
323559.7938 	EXP 	baseLine
323561.2021 	EXP 	baseLine
323562.6061 	EXP 	baseLine
323564.0148 	EXP 	baseLine
323565.4206 	EXP 	baseLine
323566.8265 	EXP 	baseLine
323568.2399 	EXP 	baseLine
323569.6489 	EXP 	target
323571.0524 	EXP 	baseLine
323572.4567 	EXP 	baseLine
323573.8633 	EXP 	baseLine
323575.2661 	EXP 	baseLine
323576.6701 	EXP 	baseLine
323578.0744 	EXP 	baseLine
323579.4809 	EXP 	baseLine
323580.8861 	EXP 	baseLine
323582.2918 	EXP 	target
323583.6940 	EXP 	baseLine
323585.0980 	EXP 	baseLine
323586.5028 	EXP 	baseLine
323587.9072 	EXP 	baseLine
323589.3129 	EXP 	baseLine
323590.7175 	EXP 	baseLine
323592.1231 	EXP 	target
323593.5289 	EXP 	distractor
323594.9323 	EXP 	baseLine
323602.1368 	DATA 	Keypress: space
323602.1423 	EXP 	startBlock
323602.1589 	EXP 	target
323603.5656 	EXP 	baseLine
323604.9707 	EXP 	baseLine
323606.3782 	EXP 	target
323607.7822 	EXP 	baseLine
323609.1895 	EXP 	baseLine
323610.5936 	EXP 	baseLine
323611.9981 	EXP 	baseLine
323613.4004 	EXP 	baseLine
323614.8067 	EXP 	target
323616.2150 	EXP 	distractor
323617.6206 	EXP 	distractor
323619.0254 	EXP 	target
323620.4303 	EXP 	baseLine
323621.8374 	EXP 	distractor
323623.2412 	EXP 	baseLine
323624.6463 	EXP 	baseLine
323626.0497 	EXP 	baseLine
323627.4527 	EXP 	distractor
323628.8621 	EXP 	target
323630.2666 	EXP 	target
323631.6709 	EXP 	baseLine
323633.0769 	EXP 	baseLine
323634.4884 	EXP 	target
323635.8960 	EXP 	baseLine
323637.3062 	EXP 	target
323638.7099 	EXP 	baseLine
323640.1150 	EXP 	baseLine
323641.5217 	EXP 	distractor
323642.9247 	EXP 	baseLine
323644.3295 	EXP 	baseLine
323645.7330 	EXP 	baseLine
323647.1372 	EXP 	baseLine
323648.5414 	EXP 	baseLine
323649.9462 	EXP 	target
323651.3523 	EXP 	baseLine
323652.7557 	EXP 	baseLine
323654.1624 	EXP 	baseLine
323655.5679 	EXP 	baseLine
323656.9718 	EXP 	distractor
323658.3800 	EXP 	distractor
323659.7900 	EXP 	target
323661.1939 	EXP 	target
323662.5976 	EXP 	baseLine
323664.0022 	EXP 	baseLine
323665.4066 	EXP 	baseLine
323666.8131 	EXP 	distractor
323668.2177 	EXP 	baseLine
323669.6220 	EXP 	baseLine
323671.0264 	EXP 	target
323672.4326 	EXP 	baseLine
323673.8369 	EXP 	target
323675.2425 	EXP 	baseLine
323676.6457 	EXP 	distractor
323678.0498 	EXP 	target
323679.4548 	EXP 	target
323680.8627 	EXP 	target
323682.2660 	EXP 	baseLine
323683.6694 	EXP 	distractor
323685.0752 	EXP 	baseLine
323686.4809 	EXP 	distractor
323687.8916 	EXP 	baseLine
323689.3007 	EXP 	baseLine
323690.7065 	EXP 	distractor
323692.1113 	EXP 	baseLine
323693.5159 	EXP 	baseLine
323694.9218 	EXP 	baseLine
323696.3246 	EXP 	baseLine
323697.7294 	EXP 	target
323699.1338 	EXP 	baseLine
323700.5378 	EXP 	baseLine
323701.9415 	EXP 	baseLine
323703.3492 	EXP 	baseLine
323704.7542 	EXP 	distractor
323706.1606 	EXP 	baseLine
323707.5651 	EXP 	baseLine
323708.9733 	EXP 	baseLine
323710.3759 	EXP 	baseLine
323711.7813 	EXP 	baseLine
323713.1859 	EXP 	baseLine
323714.5896 	EXP 	baseLine
323715.9941 	EXP 	baseLine
323717.4017 	EXP 	distractor
323718.8097 	EXP 	baseLine
323720.2140 	EXP 	baseLine
323721.6169 	EXP 	baseLine
323723.0204 	EXP 	target
323724.4252 	EXP 	baseLine
323725.8289 	EXP 	baseLine
323727.2355 	EXP 	baseLine
323728.6395 	EXP 	target
