,Unnamed: 0,timeStamp,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15,channel_16
1059,1059.0,2064275.9830849,-12.80327033996582,22.297273635864254,15.78429889678955,-58.07182693481445,22.933780670166016,41.627479553222656,-66.31554412841797,2.1093058586120605,132.85873413085938,-58.56141662597656,-63.99260330200195,206.18316650390625,-48.99434661865234,-154.87355041503906,132.39093017578125,-1.5683375597000122
1289,1289.0,2064277.0310273,13.357574462890623,-12.169496536254885,-30.190561294555664,47.83455276489258,32.64799118041992,-104.55217742919922,5.425018310546875,142.96070861816406,-47.09366226196289,-79.45361328125,198.96112060546875,33.74663162231445,-100.05754089355467,17.603435516357422,321.4342956542969,-35.3537483215332
1529,1529.0,2064278.0726019,6.619576454162598,26.94761848449707,42.632423400878906,54.38951873779297,24.799739837646484,-10.417311668395996,-70.0357666015625,-104.57849884033205,-171.603271484375,-141.23875427246094,-57.96315383911133,43.73800659179688,63.947750091552734,138.3485870361328,284.2574768066406,53.37054061889648
1989,1989.0,2064280.1422944,14.384567260742188,-11.600958824157717,-35.05153274536133,50.90815734863281,32.607852935791016,-66.26573181152344,6.356632232666016,94.46489715576172,-78.27335357666016,-130.31626892089844,99.5498046875,39.09229278564453,-222.00784301757807,12.461393356323242,263.6459045410156,-120.19957733154295
2229,2229.0,2064281.2032282,6.74755859375,26.102087020874023,43.32265853881836,38.79387283325195,25.606874465942383,-12.9605073928833,-69.29011535644531,-78.34890747070312,-129.6019744873047,-146.5191192626953,-51.07036590576172,49.90825271606445,113.5685577392578,76.92684936523438,199.3420867919922,202.02720642089844
2689,2689.0,2064283.2727306,13.543257713317873,-11.062247276306152,-37.11613082885742,48.92013549804688,25.257360458374023,-78.23194885253906,4.061662197113037,73.10078430175781,-47.65696334838867,-77.73085021972656,173.07632446289062,76.47712707519531,-290.5685729980469,21.161108016967773,55.799781799316406,-117.59986877441406
2919,2919.0,2064284.2869923,-9.251042366027832,-26.38231658935547,-30.89388465881348,-17.22823143005371,26.96677589416504,97.82008361816406,92.46149444580078,81.07442474365234,-16.23378562927246,-138.3323516845703,-226.1349334716797,-108.38880920410156,-55.27093505859375,142.85838317871094,202.67539978027344,146.31069946289062
3149,3149.0,2064285.318459,1.6853872537612915,-6.145014762878418,10.96802043914795,-20.78126335144043,24.294170379638672,-52.628360748291016,42.06891632080078,-92.06684112548828,69.92074584960938,-80.25088500976562,94.35828399658205,-132.96875,229.3126983642578,-140.8751983642578,187.1295928955078,-89.80921173095703
3839,3839.0,2064288.4055286,14.543046951293944,-10.973702430725098,-28.440460205078125,53.13784790039063,30.62998962402344,-64.48804473876953,6.297530174255371,105.45379638671876,-77.9156494140625,-54.68984603881836,157.0728302001953,65.1068115234375,-263.6508483886719,17.224241256713867,112.19143676757812,-87.48831939697266
4069,4069.0,2064289.4562836,-9.401333808898926,-26.46588516235352,-30.583608627319336,-13.073856353759766,36.2708740234375,95.35103607177734,105.6464385986328,85.92881774902344,-11.184950828552246,-142.9664764404297,-210.5812530517578,-77.93704223632812,-37.46341323852539,116.86962127685548,112.26956176757812,325.3987121582031
4539,4539.0,2064291.5509636,14.214792251586914,-10.957138061523438,-29.99444007873535,48.15694427490234,23.92183303833008,-77.64152526855469,5.767024040222168,116.72637176513672,-40.57778549194336,-82.22403717041016,66.87572479248047,67.28351593017578,-150.73394775390625,19.957778930664062,119.51205444335938,-83.04924774169922
4999,4999.0,2064293.6177608,1.7833329439163208,-5.853516101837158,11.789148330688477,-19.00586700439453,24.188884735107425,-36.90877151489258,41.39144515991211,-87.6938705444336,76.56546783447266,-69.58748626708984,154.68997192382812,-62.23155975341797,252.86642456054688,-63.86416244506836,143.0290069580078,-103.93792724609376
5419,5419.0,2064295.4959335,-9.69791316986084,-27.94422149658203,-32.2571907043457,-14.969107627868652,22.869258880615234,68.92448425292969,72.01366424560547,83.7966079711914,-16.568296432495117,-130.28829956054688,-113.96636962890624,-118.31452941894533,-55.22582244873047,149.4613037109375,74.70743560791016,210.82162475585935
5669,5669.0,2064296.5974274,-9.5475492477417,-28.98153686523437,-30.23760414123535,-15.80876636505127,26.41977882385254,71.07130432128906,76.33545684814453,84.42123413085938,-15.78675651550293,-61.85635757446289,-156.7183074951172,-77.31817626953125,-22.762392044067383,135.9071044921875,157.86973571777344,288.6118469238281
5899,5899.0,2064297.6325721,1.7648708820343018,-5.148380279541016,11.840999603271484,-22.935964584350582,32.19053268432617,-50.99382019042969,63.111515045166016,-50.43760299682617,87.4290771484375,-79.93556213378906,163.20069885253906,-79.3549575805664,83.27296447753906,-266.5477905273437,103.86996459960938,-111.10271453857422
6129,6129.0,2064298.7188987,7.149284362792969,22.94639778137207,37.43620681762695,48.29772567749024,32.768428802490234,-11.107292175292969,-75.49605560302734,-138.35043334960938,-81.63915252685547,-140.86770629882812,-39.97037124633789,53.02011489868164,119.0247802734375,220.3531951904297,121.71163177490234,42.95805358886719
6829,6829.0,2064301.8676478,6.719379901885986,26.10155487060547,45.8450813293457,43.70682907104492,29.7229061126709,-9.793307304382324,-78.16061401367188,-70.01423645019531,-166.05015563964844,-95.38373565673828,-39.24542999267578,40.20839691162109,143.41563415527344,89.44112396240234,149.8826904296875,239.21339416503903
7069,7069.0,2064302.9370606,-9.391338348388672,-28.13648796081543,-32.432395935058594,-17.60416603088379,28.868104934692383,55.60107421875,114.31128692626952,46.7866096496582,-9.813125610351562,-72.71656036376953,-135.05685424804688,-73.07913208007812,-51.58853149414063,98.2239761352539,149.176513671875,356.718505859375
7529,7529.0,2064305.0008786,6.966341972351074,23.62027740478516,45.350318908691406,44.02704620361328,25.51045036315918,-7.590934753417969,-69.38874053955078,-139.89669799804688,-74.96935272216797,-151.80101013183594,-45.46631622314453,20.29570770263672,94.2764129638672,186.5680084228516,89.87326049804688,109.83001708984376
7989,7989.0,2064307.0768509,14.417393684387209,-11.326998710632324,-29.38524627685547,46.12897491455078,27.341062545776367,-89.35386657714844,5.057245254516602,99.83140563964844,-59.896602630615234,-140.13351440429688,119.13009643554688,54.84666442871094,-101.09943389892578,19.47003746032715,158.82635498046875,-170.0435028076172
8229,8229.0,2064308.1656161,6.972897052764893,26.868671417236328,43.61055755615234,54.52485656738281,34.03461837768555,-8.05500316619873,-44.47018051147461,-66.79338836669922,-126.09846496582033,-76.46276092529297,-49.22284698486328,69.84996795654297,167.71617126464844,285.9830322265625,89.08229064941406,68.06184387207031
8689,8689.0,2064310.227302,14.425658226013184,-11.8592529296875,-28.58405113220215,44.89022064208984,28.674013137817383,-71.92536163330078,3.680508375167847,77.13053894042969,-55.52576446533203,-92.60154724121094,113.72708129882812,82.08394622802734,-118.76638793945312,24.16803359985352,207.1381683349609,-216.8653717041016
8919,8919.0,2064311.2599685,-9.564007759094238,-29.88729858398437,-31.870281219482425,-15.458382606506348,32.749603271484375,99.8041763305664,122.7319564819336,52.31205368041992,-9.26794147491455,-147.1438446044922,-186.82948303222656,-61.1355094909668,-32.52623748779297,153.05274963378906,185.0373992919922,83.92386627197266
9379,9379.0,2064313.3097099,6.961309909820557,24.177940368652344,41.40644836425781,43.00312042236328,29.39301300048828,-12.85440158843994,-47.42458724975586,-124.32024383544922,-128.7647247314453,-81.4651870727539,-51.86385345458984,70.1783676147461,161.75103759765625,293.18865966796875,277.7421569824219,221.4980010986328
10059,10059.0,2064316.3927235,-13.246742248535156,21.139484405517575,14.59616470336914,-62.21905517578125,26.299001693725582,54.10038375854492,-113.18684387207033,2.56618332862854,91.93814849853516,-144.16893005371094,-72.91410827636719,123.02375030517578,-105.1280288696289,-176.8633575439453,295.1563720703125,-0.3104147613048553
10519,10519.0,2064318.4448849,-9.801957130432127,-25.848255157470703,-35.06474685668945,-15.999025344848633,28.236482620239254,53.88003540039063,67.18242645263672,78.71076965332031,-10.423888206481934,-140.08575439453125,-91.91148376464844,-161.68260192871094,-15.976454734802246,119.22938537597656,113.84247589111328,300.88653564453125
10979,10979.0,2064320.5346686,6.945127487182617,23.55355453491211,45.63327407836914,54.8914794921875,33.437007904052734,-9.091511726379396,-44.50221633911133,-71.36892700195312,-128.66334533691406,-146.2312774658203,-54.12517166137695,54.57521438598633,75.52674102783203,115.1155242919922,172.93536376953125,201.03533935546875
11449,11449.0,2064322.6225698,1.701525330543518,-5.798589706420898,12.646682739257812,-22.539461135864254,22.83375358581543,-36.58096694946289,68.32290649414062,-76.1901626586914,51.73882675170898,-74.45704650878906,66.10399627685547,-159.7725830078125,158.8497314453125,-206.1918792724609,220.16744995117188,-99.9687957763672
11689,11689.0,2064323.7037825,14.488874435424805,-11.860481262207031,-34.326515197753906,44.57344818115234,23.397798538208008,-102.25538635253906,5.556944847106934,113.88074493408205,-38.32467269897461,-74.37403106689453,142.57704162597656,48.25080108642578,-276.1966857910156,17.461694717407227,78.25138092041016,-229.605712890625
11909,11909.0,2064324.7024871,-12.417786598205566,20.4559326171875,14.092840194702148,-66.85374450683594,36.43379592895508,54.42973709106445,-91.19698333740234,3.0689916610717773,167.8382110595703,-52.18809127807617,-72.13231658935547,146.83831787109375,-38.16287612915039,-84.17672729492188,280.5086364746094,-0.3657293319702148
12369,12369.0,2064326.7610311,-9.36757755279541,-27.79127311706543,-34.30155563354492,-16.72065544128418,27.491365432739254,75.4078140258789,68.69255828857422,46.30780029296875,-7.350614547729492,-88.61900329589844,-72.61781311035156,-208.86495971679688,-51.22457885742188,146.17335510253906,116.83292388916016,166.74220275878906
12599,12599.0,2064327.7831366,1.7226861715316772,-5.807610034942627,11.18727684020996,-21.377626419067383,33.064884185791016,-30.94877052307129,49.658424377441406,-94.13170623779295,100.04204559326172,-56.76062774658203,135.41444396972656,-179.10939025878906,243.14126586914065,-286.9127502441406,158.41482543945312,-304.9208068847656
